date,series_id,cost,orders,impressions,clicks
2021-02-09,Sparklight|Paid Search|Nonbrand CableOne FP,1637.29664490866,2.0,2109.0,148.0
2021-02-09,Sparklight|Paid Search|Nonbrand NewWave FP,2465.74944560465,3.0,2986.0,340.0
2021-02-09,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,64508.0,129.0
2021-02-09,Sparklight|Paid Social|NewWave FP,405.227127200715,2.0,44242.0,99.0
2021-02-10,Cable One|Paid Search|Brand,870.777051928736,19.0,3498.0,712.0
2021-02-10,NewWave|Paid Search|Brand,1215.6388377484132,9.9,5250.96,1236.51
2021-02-10,Sparklight|Paid Search|Brand,4411.007033983147,25.1,12900.04,3517.49
2021-02-10,Sparklight|Paid Search|Nonbrand CableOne FP,1637.29664490866,2.0,2101.0,149.0
2021-02-10,Sparklight|Paid Search|Nonbrand NewWave FP,3041.73890494859,7.0,2947.0,413.0
2021-02-10,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,64508.0,128.0
2021-02-10,Sparklight|Paid Social|NewWave FP,418.610591144612,2.0,44018.0,95.0
2021-02-11,Cable One|Paid Search|Brand,870.777051928736,18.0,3585.0,732.0
2021-02-11,NewWave|Paid Search|Brand,1136.0722545110664,8.91,4995.54,1172.16
2021-02-11,Sparklight|Paid Search|Brand,4039.6408038979034,18.09,13027.46,3516.84
2021-02-11,Sparklight|Paid Search|Nonbrand CableOne FP,1550.66942477191,2.0,2012.0,142.0
2021-02-11,Sparklight|Paid Search|Nonbrand NewWave FP,2215.43484629524,2.0,2947.0,308.0
2021-02-11,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,62738.0,124.0
2021-02-11,Sparklight|Paid Social|NewWave FP,496.627625350494,1.0,49307.0,114.0
2021-02-12,Cable One|Paid Search|Brand,870.777051928736,18.0,3671.0,752.0
2021-02-12,NewWave|Paid Search|Brand,1139.5287869319088,8.91,5065.83,1188.0
2021-02-12,Sparklight|Paid Search|Brand,4270.577875591272,23.09,13407.17,3517.0
2021-02-12,Sparklight|Paid Search|Nonbrand CableOne FP,1021.9132721802,1.0,1513.0,103.0
2021-02-12,Sparklight|Paid Search|Nonbrand NewWave FP,2411.46054158522,2.0,2906.0,332.0
2021-02-12,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,62738.0,128.0
2021-02-12,Sparklight|Paid Social|NewWave FP,578.318772419459,2.0,56156.0,138.0
2021-02-13,Cable One|Paid Search|Brand,426.454755674772,16.0,2944.0,545.0
2021-02-13,NewWave|Paid Search|Brand,943.9737642390212,7.92,4613.4,933.5699999999999
2021-02-13,Sparklight|Paid Search|Brand,2495.848796555707,11.08,9351.6,2761.4300000000003
2021-02-13,Sparklight|Paid Search|Nonbrand CableOne FP,1021.9132721802,1.0,1557.0,106.0
